x,y
41,33.30638903
60,60.9105427
52,52.24760027
21,27.3051179
71,68.16724757
77,74.25552425
4,8.655714172
8,8.452520159
9,10.68453755
48,48.09368034
56,57.19103506
81,83.78410946
66,67.22008001
43,41.02251779
51,46.91387709
21,28.90260209
47,46.69013968
66,63.15189497
64,67.85169407
58,57.95782956
35,36.72823317
32,33.21584226
57,53.11628433
27,30.49412933
74,75.07484683
17,20.02797699
77,77.01988215
99,100.5328916
16,16.68715211
58,54.14681616
3,5.297054029
35,35.02445799
74,71.67949917
19,18.40919388
44,46.87654473
58,58.59500642
100,96.62327888
26,23.87590331
58,60.27852322
2,2.267059451
43,48.67252645
99,99.30874567
5,0.676076749
48,53.62523007
51,47.5775361
42,43.71901164
98,92.59573853
28,27.42497237
7,7.459605998
37,40.03504862
63,63.67348242
24,21.97388066
65,64.83296316
54,50.5921991
4,7.08132338
6,5.398840061
16,11.23757338
90,94.79690531
49,56.15934471
69,69.46306072
14,17.70677576
13,14.81106804
56,54.55446979
43,42.91449728
20,18.39512747
71,71.65789964
100,101.7003412
19,17.09537241
49,49.72359037
91,91.69240746
0,1.100686692
28,30.23177607
6,10.76675683
47,44.15029394
49,46.36928662
23,23.52647153
68,61.18044414
65,66.95806869
94,97.02383456
6,11.89457829
24,26.68794368
16,13.89748578
0,0.376911899
97,101.0697879
98,97.19448821
98,92.85929155
47,48.79647071
55,53.98393374
5,7.382244165
57,57.25180153
23,19.02332876
50,49.65277661
41,45.44599591
91,91.17012883
73,70.34969772
76,73.51081775
51,51.90142035
78,74.4993599
37,41.88734051
12,12.11219941
65,66.49546208
76,73.13850045
54,52.78130641
58,55.37049953
37,41.14386358
36,38.67780759
27,23.44479161
19,20.87391785
56,61.09367762
73,69.71787806
19,14.99514319
54,53.25166165
83,78.52505087
1,3.778209914
76,80.80643766
44,48.59717283
53,55.72021356
22,18.56241391
97,97.41206981
83,87.22059677
76,75.63280796
14,8.148154262
30,26.48713683
91,91.36566374
2,-1.63296825
37,40.00709598
79,81.22259156
4,9.682408486
98,96.04932416
2,-2.819913974
20,21.47982988
71,68.5458879
